length,event,tolerance_points_default,shift_min_persistence_default,tp_default,fp_default,fn_default,tn_default,start_precision_default,start_recall_default,start_f1_default,start_specificity_default,start_balanced_accuracy_default,mean_abs_start_error_default,dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,tolerance_points_tuned,shift_min_persistence_tuned,tp_tuned,fp_tuned,fn_tuned,tn_tuned,start_precision_tuned,start_recall_tuned,start_f1_tuned,start_specificity_tuned,start_balanced_accuracy_tuned,mean_abs_start_error_tuned,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,tolerance_points_change,shift_min_persistence_change,tp_change,fp_change,fn_change,tn_change,start_precision_change,start_recall_change,start_f1_change,start_specificity_change,start_balanced_accuracy_change,mean_abs_start_error_change,point_anomaly_threshold_change,collective_anomaly_threshold_change
400,mean_shift,20,40.0,16,22,110,209,0.42105263146814403,0.12698412697404887,0.19512194763533613,0.9047619047227375,0.5158730158483932,7.375,ood_background,default_0.5,0.5,0.5,20,40.0,16,22,110,209,0.42105263146814403,0.12698412697404887,0.19512194763533613,0.9047619047227375,0.5158730158483932,7.375,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,variance_shift,20,40.0,16,36,111,203,0.3076923076331361,0.12598425195858393,0.1787709455784777,0.8493723849016999,0.48767831843014187,6.4375,ood_background,default_0.5,0.5,0.5,20,40.0,16,36,111,203,0.3076923076331361,0.12598425195858393,0.1787709455784777,0.8493723849016999,0.48767831843014187,6.4375,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,trend_shift,20,40.0,4,53,121,193,0.07017543858417975,0.03199999999744,0.04395603964919738,0.7845528454965629,0.40827642274700143,4.5,ood_background,default_0.5,0.5,0.5,20,40.0,4,53,121,193,0.07017543858417975,0.03199999999744,0.04395603964919738,0.7845528454965629,0.40827642274700143,4.5,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,point_anomaly,20,,48,87,8,207,0.3555555555292181,0.8571428569897959,0.5026177968498671,0.7040816326291128,0.7806122448094543,0.0,ood_background,default_0.5,0.5,0.5,20,,34,28,22,243,0.548387096685744,0.6071428570344388,0.5762711813559324,0.8966789667565801,0.7519109118955094,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-14,-59,14,36,0.19283154115652595,-0.24999999995535704,0.07365338450606529,0.19259733412746727,-0.028701332913944944,0.0,0.42000000000000026,0.44000000000000017
400,collective_anomaly,20,,78,24,22,205,0.7647058822779701,0.7799999999220001,0.7722772226467994,0.8951965065111268,0.8375982532165634,2.1794871794871793,ood_background,default_0.5,0.5,0.5,20,,70,8,30,219,0.8974358973208416,0.6999999999300001,0.7865168489205909,0.9647577092086009,0.8323788545693005,2.857142857142857,tuned,0.9200000000000003,0.9400000000000002,0,,-8,-16,8,14,0.13273001504287152,-0.07999999999200003,0.014239626273791495,0.06956120269747412,-0.005219398647262952,0.6776556776556779,0.42000000000000026,0.44000000000000017
800,mean_shift,40,80.0,27,66,92,181,0.29032258061394384,0.22689075628345456,0.25471697618325034,0.7327935222375387,0.4798421392604966,12.88888888888889,ood_background,default_0.5,0.5,0.5,40,80.0,27,66,92,181,0.29032258061394384,0.22689075628345456,0.25471697618325034,0.7327935222375387,0.4798421392604966,12.88888888888889,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,variance_shift,40,80.0,25,40,91,201,0.3846153845562131,0.21551724136073128,0.2762430892890938,0.8340248962309533,0.5247710687958423,16.4,ood_background,default_0.5,0.5,0.5,40,80.0,25,40,91,201,0.3846153845562131,0.21551724136073128,0.2762430892890938,0.8340248962309533,0.5247710687958423,16.4,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,trend_shift,40,80.0,14,84,115,174,0.1428571428425656,0.10852713177453277,0.12334801270352637,0.6744186046250226,0.39147286819977767,18.642857142857142,ood_background,default_0.5,0.5,0.5,40,80.0,14,84,115,174,0.1428571428425656,0.10852713177453277,0.12334801270352637,0.6744186046250226,0.39147286819977767,18.642857142857142,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,point_anomaly,40,,37,181,4,189,0.1697247706344163,0.9024390241701368,0.28571428302738483,0.5108108107970051,0.7066249174835709,0.0,ood_background,default_0.5,0.5,0.5,40,,26,51,15,248,0.33766233761848546,0.6341463413087448,0.44067796149238736,0.82943143809935,0.7317888897040474,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-11,-130,11,59,0.16793756698406917,-0.26829268286139196,0.15496367846500253,0.31862062730234497,0.025163972220476505,0.0,0.42000000000000026,0.44000000000000017
800,collective_anomaly,40,,86,166,14,158,0.3412698412562988,0.859999999914,0.48863635954093504,0.48765432097260325,0.6738271604433016,3.7790697674418605,ood_background,default_0.5,0.5,0.5,40,,77,24,23,210,0.7623762375482797,0.7699999999230001,0.7661691491527439,0.8974358973975455,0.8337179486602728,3.3636363636363638,tuned,0.9200000000000003,0.9400000000000002,0,,-9,-142,9,52,0.4211063962919809,-0.08999999999099995,0.2775327896118089,0.40978157642494223,0.15989078821697122,-0.41543340380549676,0.42000000000000026,0.44000000000000017
1200,mean_shift,60,120.0,28,115,96,152,0.1958041957905032,0.22580645159469304,0.2097378227249647,0.569288389491787,0.39754742054324,15.178571428571429,ood_background,default_0.5,0.5,0.5,60,120.0,28,115,96,152,0.1958041957905032,0.22580645159469304,0.2097378227249647,0.569288389491787,0.39754742054324,15.178571428571429,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,variance_shift,60,120.0,29,55,97,195,0.3452380951969955,0.2301587301404636,0.2761904713641724,0.7799999999688,0.5050793650546318,26.93103448275862,ood_background,default_0.5,0.5,0.5,60,120.0,29,55,97,195,0.3452380951969955,0.2301587301404636,0.2761904713641724,0.7799999999688,0.5050793650546318,26.93103448275862,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,trend_shift,60,120.0,11,96,118,173,0.10280373830814919,0.08527131782284718,0.09322033401860125,0.6431226765560177,0.36419699718943244,30.545454545454547,ood_background,default_0.5,0.5,0.5,60,120.0,11,96,118,173,0.10280373830814919,0.08527131782284718,0.09322033401860125,0.6431226765560177,0.36419699718943244,30.545454545454547,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,point_anomaly,60,,42,181,9,201,0.1883408071664421,0.8235294116032296,0.30656934001358627,0.5261780104574298,0.6748537110303297,0.0,ood_background,default_0.5,0.5,0.5,60,,34,72,17,240,0.3207547169508722,0.6666666665359477,0.4331210146667208,0.7692307692061143,0.7179487178710311,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-8,-109,8,39,0.1324139097844301,-0.15686274506728182,0.12655167465313455,0.24305275874868448,0.043095006840701444,0.0,0.42000000000000026,0.44000000000000017
1200,collective_anomaly,60,,92,381,8,117,0.19450317124324518,0.9199999999080001,0.3211169255543069,0.23493975903142691,0.5774698794697135,5.586956521739131,ood_background,default_0.5,0.5,0.5,60,,87,52,13,196,0.6258992805305108,0.869999999913,0.7280334678755626,0.7903225806132934,0.8301612902631468,4.574712643678161,tuned,0.9200000000000003,0.9400000000000002,0,,-5,-329,5,79,0.43139610928726563,-0.049999999995000044,0.4069165423212557,0.5553828215818665,0.25269141079343327,-1.0122438780609695,0.42000000000000026,0.44000000000000017
